country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Turkmenistan,CentralAsia,488100,5758,12.3,97,37597,13.4,51,35.6,3741,2616,1125,3,46.9,2.1,3.1,145.9,54,8.8,3270,212
Turks and Caicos Islands,Caribbean,948,35,37.3,104.1,863,0.6,10.4,89,4,389,-385,-99,-99,-99,3.3,-99,60,36.2,0,86
Tuvalu,Polynesia,26,11,373.1,102,33,26,7.6,66.4,~0,12,-12,3.6,...,16.5,-99,40.3,96,33.3,-99,13
Uganda,EasternAfrica,241550,42863,214.5,99,25282,25.6,21.5,52.9,2755,3750,-996,5.9,60.2,7.2,2.2,50.4,196,11,409,12
Ukraine,EasternEurope,603500,44223,76.3,86,90615,14,26.3,59.7,36369,39184,-2815,1.5,8.8,7.1,5.9,144,102,16.6,3203,98
United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,370296,0.7,44.9,54.4,195613,201908,-6296,1.8,6.2,3.6,-99,187.4,56,3.8,8642,366
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,0.7,19.4,79.9,415856,635570,-219713,1.9,4.1,9.1,5.7,125.8,102,12.9,4482,116
United Republic of Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,31.1,26.1,42.9,4742,7876,-3134,5.2,44,5.6,3.5,75.9,1082,52.4,935,20
United States of America,NorthernAmerica,9833517,324460,35.5,98,18036648,1,19.7,79.3,1453167,2249661,-796494,1.9,6,17.1,5.4,117.6,1513,33.9,83887,289
United States Virgin Islands,Caribbean,347,105,299.7,91.1,-99,-99,-99,-99,-99,-99,-99,2.3,9.3,-99,-99,...,58,50.6,-99,-99
